Recursive BFS,adjmatrix,6155->4287,52,4997,0.986941,51,0
Iterative DFS,adjmatrix,6155->4287,2924,7189,3.25411,2923,0
Recursive DFS,adjmatrix,6155->4287,2924,7189,3.08341,2923,0
Dijkstra,adjmatrix,6155->4287,56,4202,0.823732,55,15.043
A* (A star),adjmatrix,6155->4287,52,52,0.00843094,51,24.168
Iterative BFS,adjlist,8247->8123,26,1155,0.0140954,25,0
Recursive BFS,adjlist,8247->8123,26,1155,0.014088,25,0
Iterative DFS,adjlist,8247->8123,1380,6397,0.715505,1379,0
Recursive DFS,adjlist,8247->8123,1380,6397,0.738224,1379,0
Dijkstra,adjlist,8247->8123,30,1670,0.0396982,29,9.973
A* (A star),adjlist,8247->8123,26,26,0.00159629,25,12.879
Iterative BFS,adjmatrix,8247->8123,26,1200,0.155852,25,0
Recursive BFS,adjmatrix,8247->8123,26,1200,0.159244,25,0
Iterative DFS,adjmatrix,8247->8123,992,992,0.155753,991,0
Recursive DFS,adjmatrix,8247->8123,992,992,0.15743,991,0
Dijkstra,adjmatrix,8247->8123,30,1670,0.241258,29,9.973
A* (A star),adjmatrix,8247->8123,26,26,0.0044906,25,12.879
Iterative BFS,adjlist,932->7040,70,5014,0.340314,69,0
Recursive BFS,adjlist,932->7040,70,5014,0.366213,69,0
Iterative DFS,adjlist,932->7040,344,344,0.0075628,343,0
Recursive DFS,adjlist,932->7040,344,344,0.00614084,343,0
Dijkstra,adjlist,932->7040,86,6192,0.599124,85,24.891
A* (A star),adjlist,932->7040,70,70,0.00321896,69,33.336
Iterative BFS,adjmatrix,932->7040,70,5014,1.112,69,0
Recursive BFS,adjmatrix,932->7040,70,5014,1.0668,69,0
Iterative DFS,adjmatrix,932->7040,1052,8888,3.4105,1051,0
Recursive DFS,adjmatrix,932->7040,1052,8888,3.49736,1051,0
Dijkstra,adjmatrix,932->7040,86,6192,1.53755,85,24.891
A* (A star),adjmatrix,932->7040,70,70,0.0111473,69,33.336
Iterative BFS,adjlist,3316->9901,82,6828,0.601781,81,0
Recursive BFS,adjlist,3316->9901,82,6828,0.634029,81,0
Iterative DFS,adjlist,3316->9901,746,9110,1.74997,745,0
Recursive DFS,adjlist,3316->9901,746,9110,1.80494,745,0
Dijkstra,adjlist,3316->9901,90,7078,0.793386,89,24.756
A* (A star),adjlist,3316->9901,82,82,0.00356686,81,34.48
Iterative BFS,adjmatrix,3316->9901,82,6861,1.70971,81,0
Recursive BFS,adjmatrix,3316->9901,82,6861,1.71839,81,0
Iterative DFS,adjmatrix,3316->9901,3010,3010,0.882272,3009,0
Recursive DFS,adjmatrix,3316->9901,3010,3010,0.857314,3009,0
Dijkstra,adjmatrix,3316->9901,90,7078,1.87883,89,24.756
A* (A star),adjmatrix,3316->9901,82,82,0.0141332,81,34.48
Iterative BFS,adjlist,6483->7013,77,6581,0.39166,76,0
Recursive BFS,adjlist,6483->7013,77,6581,0.412687,76,0
Iterative DFS,adjlist,6483->7013,3633,5068,0.681341,3632,0
Recursive DFS,adjlist,6483->7013,3633,5068,0.707576,3632,0
Dijkstra,adjlist,6483->7013,91,7831,0.91103,90,25.872
A* (A star),adjlist,6483->7013,77,77,0.00354074,76,36.133
Iterative BFS,adjmatrix,6483->7013,77,6646,1.36794,76,0
Recursive BFS,adjmatrix,6483->7013,77,6646,1.33345,76,0
Iterative DFS,adjmatrix,6483->7013,1607,8428,3.59834,1606,0
Recursive DFS,adjmatrix,6483->7013,1607,8428,3.51596,1606,0
Dijkstra,adjmatrix,6483->7013,91,7831,1.94206,90,25.872
A* (A star),adjmatrix,6483->7013,77,77,0.0126279,76,36.133
Iterative BFS,adjlist,2435->4080,62,5416,0.390746,61,0
Recursive BFS,adjlist,2435->4080,62,5416,0.405779,61,0
Iterative DFS,adjlist,2435->4080,2208,4288,0.779342,2207,0
Recursive DFS,adjlist,2435->4080,2208,4288,0.803738,2207,0
Dijkstra,adjlist,2435->4080,66,4557,0.319929,65,16.376
A* (A star),adjlist,2435->4080,62,62,0.00256654,61,27.275
Iterative BFS,adjmatrix,2435->4080,62,5425,1.20005,61,0
Recursive BFS,adjmatrix,2435->4080,62,5425,1.19836,61,0
Iterative DFS,adjmatrix,2435->4080,1984,8001,3.19148,1983,0
Recursive DFS,adjmatrix,2435->4080,1984,8001,3.24595,1983,0
Dijkstra,adjmatrix,2435->4080,66,4557,0.974738,65,16.376
A* (A star),adjmatrix,2435->4080,62,62,0.00988646,61,27.275
Iterative BFS,adjlist,968->4993,66,4607,0.231752,65,0
Recursive BFS,adjlist,968->4993,66,4607,0.245702,65,0
Iterative DFS,adjlist,968->4993,1174,1972,0.160711,1173,0
Recursive DFS,adjlist,968->4993,1174,1972,0.163759,1173,0
Dijkstra,adjlist,968->4993,68,4222,0.30415,67,20.42
A* (A star),adjlist,968->4993,66,66,0.00260031,65,29.852
Iterative BFS,adjmatrix,968->4993,66,4607,0.939253,65,0
Recursive BFS,adjmatrix,968->4993,66,4607,0.895415,65,0
Iterative DFS,adjmatrix,968->4993,900,900,0.143761,899,0
Recursive DFS,adjmatrix,968->4993,900,900,0.142448,899,0
Dijkstra,adjmatrix,968->4993,68,4222,0.836975,67,20.42
A* (A star),adjmatrix,968->4993,66,66,0.0105867,65,29.852
Iterative BFS,adjlist,932->2383,66,4538,0.27363,65,0
Recursive BFS,adjlist,932->2383,66,4538,0.291945,65,0
Iterative DFS,adjlist,932->2383,2460,4312,0.824301,2459,0
Recursive DFS,adjlist,932->2383,2460,4312,0.876358,2459,0
Dijkstra,adjlist,932->2383,66,4964,0.388261,65,21.456
A* (A star),adjlist,932->2383,66,66,0.00292507,65,33.898
Iterative BFS,adjmatrix,932->2383,66,4538,0.986886,65,0
